x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.44950000000000001e+00,1.44950000000000001e+00,4.75952443307817163e-01,-6.56745440833809369e-01,-6.56712581314683908e-01,-1.24371470008590515e-02,-1.24365247222038375e-02,-6.21826236110191791e-03,-1.86554093619609694e-02,-1.86547870833057572e-02
1.45674999999999999e+00,1.45674999999999999e+00,4.71226761415446171e-01,-6.46988303798138986e-01,-6.46956253873960718e-01,-1.21307182649895619e-02,-1.21301173443881562e-02,-6.06505867219407982e-03,-1.81957769371836400e-02,-1.81951760165822360e-02
1.46399999999999997e+00,1.46399999999999997e+00,4.66571112902744167e-01,-6.37423494889397091e-01,-6.37392230741453791e-01,-1.18333048788593648e-02,-1.18327244826277270e-02,-5.91636224131386352e-03,-1.77496671201732292e-02,-1.77490867239415914e-02
1.47124999999999995e+00,1.47124999999999995e+00,4.61984120739549919e-01,-6.28046298473968534e-01,-6.28015797097094208e-01,-1.15445989095962036e-02,-1.15440382404814260e-02,-5.77201912024071211e-03,-1.73166180298369166e-02,-1.73160573607221389e-02
1.47849999999999993e+00,1.47849999999999993e+00,4.57464441574871705e-01,-6.18852136987097623e-01,-6.18822376158094989e-01,-1.12643043863725634e-02,-1.12637626817930023e-02,-5.63188134089650204e-03,-1.68961857272690655e-02,-1.68956440226895044e-02
1.48574999999999990e+00,1.48574999999999990e+00,4.53010764753237039e-01,-6.09836566239561506e-01,-6.09807524486942087e-01,-1.09921367801692829e-02,-1.09916133105467627e-02,-5.49580665527338048e-03,-1.64879434354426625e-02,-1.64874199658201423e-02
1.49300000000000010e+00,1.49300000000000010e+00,4.48621811364397882e-01,-6.00995270905688272e-01,-6.00966927480774071e-01,-1.07278225085555585e-02,-1.07273165757363100e-02,-5.36365828786815498e-03,-1.60914807964237135e-02,-1.60909748636044667e-02
1.50024999999999986e+00,1.50024999999999986e+00,4.44296333325104653e-01,-5.92324060185028145e-01,-5.92296395034300538e-01,-1.04710984641712725e-02,-1.04706093999296403e-02,-5.23530469996481927e-03,-1.57064031641360909e-02,-1.57059140998944587e-02
1.50750000000000006e+00,1.50750000000000006e+00,4.40033112491714951e-01,-5.83818863630241935e-01,-5.83791857368776035e-01,-1.02217115656703939e-02,-1.02212387302887918e-02,-5.11061936514439590e-03,-1.53323309308147897e-02,-1.53318580954331877e-02
1.51475000000000004e+00,1.51475000000000004e+00,4.35830959802466056e-01,-5.75475727133728299e-01,-5.75449361019925498e-01,-9.97941832994812990e-03,-9.97896111087360170e-03,-4.98948055543679998e-03,-1.49688988853849299e-02,-1.49684416663104017e-02
1.52200000000000002e+00,1.52200000000000002e+00,4.31688714448275890e-01,-5.67290809066776092e-01,-5.67265064978023537e-01,-9.74398446455684852e-03,-9.74354227512446228e-03,-4.87177113756223027e-03,-1.46157556021190779e-02,-1.46153134126866917e-02
1.52925000000000000e+00,1.52925000000000000e+00,4.27605243070997842e-01,-5.59260376564260753e-01,-5.59235236973677052e-01,-9.51518447925919428e-03,-9.51475675748207454e-03,-4.75737837874103727e-03,-1.42725628580002324e-02,-1.42721351362231109e-02
1.53649999999999998e+00,1.53649999999999998e+00,4.23579438988094137e-01,-5.51380801948958776e-01,-5.51356249903148909e-01,-9.29280131573835370e-03,-9.29238752316015847e-03,-4.64619376158007923e-03,-1.39389950773184321e-02,-1.39385812847402368e-02
1.54375000000000018e+00,1.54375000000000018e+00,4.19610221442737796e-01,-5.43648559289653832e-01,-5.43624578387352564e-01,-9.07662599453701313e-03,-9.07622561514212500e-03,-4.53811280757106250e-03,-1.36147388021080756e-02,-1.36143384227131875e-02
1.55100000000000016e+00,1.55100000000000016e+00,4.15696534878394086e-01,-5.36060221087300448e-01,-5.36036795458922022e-01,-8.86645727834521613e-03,-8.86606981752446378e-03,-4.43303490876223189e-03,-1.32994921871074472e-02,-1.32991047262866965e-02
1.55825000000000014e+00,1.55825000000000014e+00,4.11837348236971934e-01,-5.28612455084029875e-01,-5.28589569372015955e-01,-8.66210135081011551e-03,-8.66172633437786374e-03,-4.33086316718893014e-03,-1.29929645179990456e-02,-1.29925895015667939e-02
1.56550000000000011e+00,1.56550000000000011e+00,4.08031654279675693e-01,-5.21302021189693932e-01,-5.21279660529767708e-01,-8.46337151008085507e-03,-8.46300848334304544e-03,-4.23150424167152272e-03,-1.26948757517523769e-02,-1.26945127250145673e-02
1.57275000000000009e+00,1.57275000000000009e+00,4.04278468929721413e-01,-5.14125768521363824e-01,-5.14103918524522530e-01,-8.27008787635270456e-03,-8.26973640322095464e-03,-4.13486820161047732e-03,-1.24049560779631828e-02,-1.24046046048314311e-02
1.58000000000000007e+00,1.58000000000000007e+00,4.00576830636115933e-01,-5.07080632551037525e-01,-5.07059279286222631e-01,-8.08207711270856645e-03,-8.08173677485741690e-03,-4.04086838742870845e-03,-1.21229455001372749e-02,-1.21226051622861253e-02
1.58725000000000005e+00,1.58725000000000005e+00,3.96925799757731401e-01,-5.00163632357008225e-01,-5.00142762334517377e-01,-7.89917215859391696e-03,-7.89884255466043531e-03,-3.94942127733021765e-03,-1.18485934359241346e-02,-1.18482638319906530e-02
1.59450000000000003e+00,1.59450000000000003e+00,3.93324457966939323e-01,-4.93371867974769174e-01,-4.93351468130372284e-01,-7.72121197530064793e-03,-7.72089272012402468e-03,-3.86044636006201277e-03,-1.15816583353626611e-02,-1.15813390801860379e-02
1.60175000000000001e+00,1.60175000000000001e+00,3.89771907672097240e-01,-4.86702517843458082e-01,-4.86682575523143091e-01,-7.54804130286792357e-03,-7.54773202676621048e-03,-3.77386601338310567e-03,-1.13219073162510297e-02,-1.13215980401493166e-02
1.60899999999999999e+00,1.60899999999999999e+00,3.86267271458209216e-01,-4.80152836343975764e-01,-4.80133339289259442e-01,-7.37951042783905470e-03,-7.37921077592053939e-03,-3.68960538796026969e-03,-1.10691158157993248e-02,-1.10688161638808086e-02
1.61624999999999996e+00,1.61624999999999996e+00,3.82809691545109632e-01,-4.73720151424956271e-01,-4.73701087758836348e-01,-7.21547496134140962e-03,-7.21518459285033689e-03,-3.60759229642516888e-03,-1.08230672577665776e-02,-1.08227768892755066e-02
1.62349999999999994e+00,1.62349999999999994e+00,3.79398329262547351e-01,-4.67401862313241878e-01,-4.67383220526698340e-01,-7.05579562698940236e-03,-7.05551421468325005e-03,-3.52775710734162546e-03,-1.05835527343310278e-02,-1.05832713220248755e-02
1.63074999999999992e+00,1.63074999999999992e+00,3.76032364541567632e-01,-4.61195437305462974e-01,-4.61177206244449078e-01,-6.90033805813387597e-03,-6.90006528768998505e-03,-3.45003264384499209e-03,-1.03503707019788685e-02,-1.03500979315349767e-02
1.63799999999999990e+00,1.63799999999999990e+00,3.72710995421618174e-01,-4.55098411637354872e-01,-4.55080580490376307e-01,-6.74897260400455449e-03,-6.74870817345639331e-03,-3.37435408672819709e-03,-1.01233266907327507e-02,-1.01230622601845913e-02
1.64524999999999988e+00,1.64524999999999988e+00,3.69433437572826040e-01,-4.49108385427972934e-01,-4.49090943714117674e-01,-6.60157414432180865e-03,-6.60131776352163718e-03,-3.30065888176081859e-03,-9.90223302608262725e-03,-9.90197664528245577e-03
1.65250000000000008e+00,1.65250000000000008e+00,3.66198923832912471e-01,-4.43223021695729358e-01,-4.43205959253146708e-01,-6.45802191197051081e-03,-6.45777330207734923e-03,-3.22888665103867462e-03,-9.68690856300918543e-03,-9.68665995311602385e-03
1.65975000000000006e+00,1.65975000000000006e+00,3.63006703758237903e-01,-4.37440044443427212e-01,-4.37423351418271267e-01,-6.31819932335185921e-03,-6.31795821634397337e-03,-3.15897910817198669e-03,-9.47717843152384547e-03,-9.47693732451596049e-03
1.66700000000000004e+00,1.66700000000000004e+00,3.59856043188482799e-01,-4.31757236809627187e-01,-4.31740903645450258e-01,-6.18199381604934550e-03,-6.18175995426005747e-03,-3.09087997713002830e-03,-9.27287379317937380e-03,-9.27263993139008577e-03
1.67425000000000002e+00,1.67425000000000002e+00,3.56746223824498332e-01,-4.26172439283817539e-01,-4.26156456711361320e-01,-6.04929669346419754e-03,-6.04906982913933685e-03,-3.02453491456966842e-03,-9.07383160803386553e-03,-9.07360474370900484e-03
1.68149999999999999e+00,1.68149999999999999e+00,3.53676542818867456e-01,-4.20683547982900308e-01,-4.20667907010249753e-01,-5.92000297609218424e-03,-5.91978287096783622e-03,-2.95989143548391767e-03,-8.87989441157610235e-03,-8.87967430645175346e-03
1.68875000000000020e+00,1.68875000000000020e+00,3.50646312378746161e-01,-4.15288512986549563e-01,-4.15273204889706704e-01,-5.79401125912967340e-03,-5.79379768403021859e-03,-2.89689884201510973e-03,-8.69091010114478313e-03,-8.69069652604532832e-03
1.69600000000000017e+00,1.69600000000000017e+00,3.47654859380562398e-01,-4.09985336729317140e-01,-4.09970353043116020e-01,-5.67122357611572845e-03,-5.67101631057028571e-03,-2.83550815528514242e-03,-8.50673173140087044e-03,-8.50652446585542857e-03
1.70325000000000015e+00,1.70325000000000015e+00,3.44701524996171071e-01,-4.04772072447244113e-01,-4.04757404956607725e-01,-5.55154526832888750e-03,-5.55134410020543395e-03,-2.77567205010271654e-03,-8.32721731843160361e-03,-8.32701615030815093e-03
1.71050000000000013e+00,1.71050000000000013e+00,3.41785664330077399e-01,-3.99646822676913871e-01,-3.99632463408450600e-01,-5.43488485967271850e-03,-5.43468958482918457e-03,-2.71734479241459229e-03,-8.15222965208731165e-03,-8.15203437724377686e-03
