x,r,b,b_prime_fd,b_prime_exact,rho_fd,rho_exact,p_radial,nec_fd,nec_exact
1.38424999999999998e+00,1.38424999999999998e+00,8.49948739012470811e-01,-3.07012212875314106e-01,-3.07006949255001216e-01,-6.37509598357139957e-03,-6.37498668471191306e-03,-1.27499733694238261e-02,-1.91250693529952248e-02,-1.91249600541357409e-02
1.39149999999999996e+00,1.39149999999999996e+00,8.47731643854830685e-01,-3.04615891884083112e-01,-3.04610723627319668e-01,-6.25959558859790974e-03,-6.25948938534949366e-03,-1.25189787706989891e-02,-1.87785743592968971e-02,-1.87784681560484827e-02
1.39874999999999994e+00,1.39874999999999994e+00,8.45531808580151645e-01,-3.02250583085339031e-01,-3.02245507982181139e-01,-6.14677177780676137e-03,-6.14666856708490951e-03,-1.22933371341698173e-02,-1.84401089119765778e-02,-1.84400057012547268e-02
1.40600000000000014e+00,1.40600000000000014e+00,8.43349010400093135e-01,-2.99915727482755301e-01,-2.99910743385523870e-01,-6.03654912950319419e-03,-6.03644881216386549e-03,-1.20728976243277292e-02,-1.81094467538309226e-02,-1.81093464364915947e-02
1.41325000000000012e+00,1.41325000000000012e+00,8.41183030531651665e-01,-2.97610778968483203e-01,-2.97605883789722858e-01,-5.92885472084971488e-03,-5.92875720151992726e-03,-1.18575144030398528e-02,-1.77863691238895685e-02,-1.77862716045597800e-02
1.42050000000000010e+00,1.42050000000000010e+00,8.39033654105050153e-01,-2.95335203961847981e-01,-2.95330395672316115e-01,-5.82361803282294577e-03,-5.82352321973852744e-03,-1.16470464394770531e-02,-1.74706644722999981e-02,-1.74705696592155797e-02
1.42775000000000007e+00,1.42775000000000007e+00,8.36900670074204878e-01,-2.93088481059868400e-01,-2.93083757686641522e-01,-5.72077085924500763e-03,-5.72067866409692143e-03,-1.14413573281938429e-02,-1.71621281874388514e-02,-1.71620359922907625e-02
1.43500000000000005e+00,1.43500000000000005e+00,8.34783871129682109e-01,-2.90870100699287093e-01,-2.90865460323931013e-01,-5.62024721969781212e-03,-5.62015755748560518e-03,-1.12403151149712104e-02,-1.68605623346690242e-02,-1.68604726724568138e-02
1.44225000000000003e+00,1.44225000000000003e+00,8.32683053614065249e-01,-2.88679564829635638e-01,-2.88675005586432720e-01,-5.52198327613510377e-03,-5.52189606502706022e-03,-1.10437921300541222e-02,-1.65657754061892259e-02,-1.65656881950811824e-02
1.44950000000000001e+00,1.44950000000000001e+00,8.30598017439652336e-01,-2.86516386596957773e-01,-2.86511906671146011e-01,-5.42591725301837767e-03,-5.42583241421720763e-03,-1.08516648284344153e-02,-1.62775820814527947e-02,-1.62774972426516229e-02
1.45674999999999999e+00,1.45674999999999999e+00,8.28528566008409406e-01,-2.84380090037551270e-01,-2.84375687663775301e-01,-5.33198936080646682e-03,-5.33190681842407761e-03,-1.06638136368481587e-02,-1.59958029976546255e-02,-1.59957204552722346e-02
1.46399999999999997e+00,1.46399999999999997e+00,8.26474506134107889e-01,-2.82270209781827930e-01,-2.82265883242523219e-01,-5.24014172265102260e-03,-5.24006140358673766e-03,-1.04801228071734736e-02,-1.57202645298244945e-02,-1.57201842107602130e-02
1.47124999999999995e+00,1.47124999999999995e+00,8.24435647966572871e-01,-2.80186290767517221e-01,-2.80182038391358690e-01,-5.15031830414100326e-03,-5.15024013796554388e-03,-1.03004802759310860e-02,-1.54507985800720893e-02,-1.54507204138966299e-02
1.47849999999999993e+00,1.47849999999999993e+00,8.22411804917978939e-01,-2.78127887961929332e-01,-2.78123708122414270e-01,-5.06246484595627294e-03,-5.06238876480252092e-03,-1.01247775296050418e-02,-1.51872423755613148e-02,-1.51871662944075628e-02
1.48574999999999990e+00,1.48574999999999990e+00,8.20402793591124890e-01,-2.76094566093178173e-01,-2.76090457207176510e-01,-4.97652879930049735e-03,-4.97645473775770904e-03,-9.95290947551541634e-03,-1.49294382748159128e-02,-1.49293642132731254e-02
1.49300000000000010e+00,1.49300000000000010e+00,8.18408433709627792e-01,-2.74085899389746146e-01,-2.74081859916151305e-01,-4.89245926398051284e-03,-4.89238715899424897e-03,-9.78477431798849620e-03,-1.46772335819690090e-02,-1.46771614769827460e-02
1.50024999999999986e+00,1.50024999999999986e+00,8.16428548049973668e-01,-2.72101471328241473e-01,-2.72097499766696782e-01,-4.81020692901427786e-03,-4.81013671979134329e-03,-9.62027343958268659e-03,-1.44304803685969645e-02,-1.44304101593740290e-02
1.50750000000000006e+00,1.50750000000000006e+00,8.14462962375368194e-01,-2.70140874389184660e-01,-2.70136969278729100e-01,-4.72972401565478675e-03,-4.72965564357023197e-03,-9.45931128714046221e-03,-1.41890353027952498e-02,-1.41889669307106933e-02
1.51475000000000004e+00,1.51475000000000004e+00,8.12511505371330434e-01,-2.68203709820085123e-01,-2.68199869738019625e-01,-4.65096422271287380e-03,-4.65089763122422152e-03,-9.30179526244844304e-03,-1.39527594851613160e-02,-1.39526928936726646e-02
1.52200000000000002e+00,1.52200000000000002e+00,8.10574008582976901e-01,-2.66289587406134842e-01,-2.66285810966812364e-01,-4.57388267408577898e-03,-4.57381780864903748e-03,-9.14763561729807322e-03,-1.37215182913838531e-02,-1.37214534259471107e-02
1.52925000000000000e+00,1.52925000000000000e+00,8.08650306353941528e-01,-2.64398125247829796e-01,-2.64394411101501248e-01,-4.49843586838536910e-03,-4.49837267637502765e-03,-8.99674535275005530e-03,-1.34951812211354244e-02,-1.34951180291250829e-02
1.53649999999999998e+00,1.53649999999999998e+00,8.06740235766883362e-01,-2.62528949545362877e-01,-2.62525296377117912e-01,-4.42458163057405859e-03,-4.42452006120756369e-03,-8.84904012241512737e-03,-1.32736217529891860e-02,-1.32735601836226902e-02
1.54375000000000018e+00,1.54375000000000018e+00,8.04843636585533706e-01,-2.60681694389703011e-01,-2.60678100918391442e-01,-4.35227906552195561e-03,-4.35221906978654899e-03,-8.70443813957309798e-03,-1.30567172050950545e-02,-1.30566572093596470e-02
1.55100000000000016e+00,1.55100000000000016e+00,8.02960351198232725e-01,-2.58856001559912841e-01,-2.58852466537147829e-01,-4.28148851339680767e-03,-4.28143004398032993e-03,-8.56286008796065985e-03,-1.28443486013574675e-02,-1.28442901319409906e-02
1.55825000000000014e+00,1.55825000000000014e+00,8.01090224562914899e-01,-2.57051520326697869e-01,-2.57048042535830190e-01,-4.21217150680971986e-03,-4.21211451803338126e-03,-8.42422903606676252e-03,-1.26364005428764824e-02,-1.26363435541001438e-02
1.56550000000000011e+00,1.56550000000000011e+00,7.99233104153495577e-01,-2.55267907261746529e-01,-2.55264485516926043e-01,-4.14429072963613289e-03,-4.14423517739107884e-03,-8.28847035478215768e-03,-1.24327610844182906e-02,-1.24327055321732365e-02
1.57275000000000009e+00,1.57275000000000009e+00,7.97388839907619662e-01,-2.53504826052797227e-01,-2.53501459198098744e-01,-4.07780997744138906e-03,-4.07775581912852431e-03,-8.15551163825705035e-03,-1.22333216156984385e-02,-1.22332674573855747e-02
1.58000000000000007e+00,1.58000000000000007e+00,7.95557284175730017e-01,-2.51761947324332880e-01,-2.51758634232825962e-01,-4.01269411944289202e-03,-4.01264131391390610e-03,-8.02528262782781221e-03,-1.20379767472707042e-02,-1.20379239417417183e-02
1.58725000000000005e+00,1.58725000000000005e+00,7.93738291671416851e-01,-2.50038948463469524e-01,-2.50035688036357506e-01,-3.94890906193864303e-03,-3.94885756944018430e-03,-7.89771513888036687e-03,-1.18466242008190108e-02,-1.18465727083205512e-02
1.59450000000000003e+00,1.59450000000000003e+00,7.91931719423009772e-01,-2.48335513450975043e-01,-2.48332304616810828e-01,-3.88642171314105287e-03,-3.88637149526203755e-03,-7.77274299052407597e-03,-1.16591647036651293e-02,-1.16591144857861144e-02
1.60175000000000001e+00,1.60175000000000001e+00,7.90137426726377656e-01,-2.46651332697389591e-01,-2.46648174411230742e-01,-3.82519994935822012e-03,-3.82515096897801006e-03,-7.65030193795602099e-03,-1.14755018873142420e-02,-1.14754529069340319e-02
1.60899999999999999e+00,1.60899999999999999e+00,7.88355275098897579e-01,-2.44986102883792967e-01,-2.44982994126444253e-01,-3.76521258246084777e-03,-3.76516480370055282e-03,-7.53032960740110651e-03,-1.12955421898619547e-02,-1.12954944111016593e-02
1.61624999999999996e+00,1.61624999999999996e+00,7.86585128234562725e-01,-2.43339526807261564e-01,-2.43336466584551520e-01,-3.70642932858347447e-03,-3.70638271675943851e-03,-7.41276543351887616e-03,-1.11191947621023506e-02,-1.11191481502783147e-02
1.62349999999999994e+00,1.62349999999999994e+00,7.84826851960192307e-01,-2.41711313230872804e-01,-2.41708300572895690e-01,-3.64882077800814239e-03,-3.64877529958647926e-03,-7.29755059917295938e-03,-1.09463713771811022e-02,-1.09463258987594382e-02
1.63074999999999992e+00,1.63074999999999992e+00,7.83080314192715066e-01,-2.40101176737930189e-01,-2.40098210698364289e-01,-3.59235836617814415e-03,-3.59231398873196195e-03,-7.18462797746392302e-03,-1.07769863436420667e-02,-1.07769419661958854e-02
1.63799999999999990e+00,1.63799999999999990e+00,7.81345384897492390e-01,-2.38508837590430289e-01,-2.38505917245876803e-01,-3.53701434579707262e-03,-3.53697103796544402e-03,-7.07394207593088891e-03,-1.06109564217279611e-02,-1.06109131138963329e-02
1.64524999999999988e+00,1.64524999999999988e+00,7.79621936047653841e-01,-2.36934021591615362e-01,-2.36931146040922025e-01,-3.48276175996773069e-03,-3.48271949141580953e-03,-6.96543898283161905e-03,-1.04482007427993493e-02,-1.04481584742474286e-02
1.65250000000000008e+00,1.65250000000000008e+00,7.77909841584413897e-01,-2.35376459952369999e-01,-2.35373628316010247e-01,-3.42957441632617569e-03,-3.42953315770746017e-03,-6.85906631541492035e-03,-1.02886407317410965e-02,-1.02885994731223805e-02
1.65975000000000006e+00,1.65975000000000006e+00,7.76208977378344489e-01,-2.33835889161433386e-01,-2.33833100580914138e-01,-3.37742686213131794e-03,-3.37738658505158185e-03,-6.75477317010316283e-03,-1.01322000322344799e-02,-1.01321597551547442e-02
1.66700000000000004e+00,1.66700000000000004e+00,7.74519221191573126e-01,-2.32312050859341923e-01,-2.32309304496572611e-01,-3.32629436027132236e-03,-3.32625503725317902e-03,-6.65251007450635805e-03,-9.97880443477767998e-03,-9.97876511175953620e-03
1.67425000000000002e+00,1.67425000000000002e+00,7.72840452640883968e-01,-2.30804691715803756e-01,-2.30801986752541127e-01,-3.27615286614676071e-03,-3.27611447059648030e-03,-6.55222894119296146e-03,-9.82838180733972173e-03,-9.82834341178944262e-03
1.68149999999999999e+00,1.68149999999999999e+00,7.71172553161693974e-01,-2.29313563310562074e-01,-2.29310898947872127e-01,-3.22697900539721484e-03,-3.22694151157286750e-03,-6.45388302314573500e-03,-9.68086202854294940e-03,-9.68082453471860206e-03
1.68875000000000020e+00,1.68875000000000020e+00,7.69515405972880817e-01,-2.27838422017590858e-01,-2.27835797475316265e-01,-3.17875005243647328e-03,-3.17871343541718809e-03,-6.35742687083437619e-03,-9.53617692327084904e-03,-9.53614030625156428e-03
1.69600000000000017e+00,1.69600000000000017e+00,7.67868896042438909e-01,-2.26379028892502276e-01,-2.26376443408737860e-01,-3.13144390976346273e-03,-3.13140814541979732e-03,-6.26281629083959464e-03,-9.39426020060305650e-03,-9.39422443625939282e-03
1.70325000000000015e+00,1.70325000000000015e+00,7.66232910053939453e-01,-2.24935149563101788e-01,-2.24932602393641379e-01,-3.08503908801821417e-03,-3.08500415298309637e-03,-6.17000830596619275e-03,-9.25504739398440648e-03,-9.25501245894928826e-03
